name,country_code,sub_code,lat,lng,Population 
"Jackson, MS",US,US-MS-718,32.3163,-90.2124,338185
"Meridian, MS",US,US-MS-711,32.3846,-88.6897,38294
"Jefferson City, MO",US,US-MO-604,38.5676,-92.1759,58279
"Kansas City, MO",US,US-MO-616,39.1239,-94.5541,1615621
"Kirksville, MO",US,US-IA-631,40.1986,-92.5753,15942
"Springfield, MO",US,US-MO-619,37.1943,-93.2915,287222
"St. Joseph, MO",US,US-MO-638,39.7598,-94.821,80818
"St. Louis, MO",US,US-MO-609,38.6358,-90.2451,2078283
"Billings, MT",US,US-MT-756,45.7889,-108.5509,120800
"Bozeman, MT",US,US-MT-754,45.6828,-111.0549,53949
"Glendive, MT",US,US-MT-798,47.1102,-104.7069,6719
"Great Falls, MT",US,US-MT-755,47.5022,-111.2995,65624
"Helena, MT",US,US-MT-766,46.5965,-112.0199,50227
"Missoula, MT",US,US-MT-762,46.8685,-114.0095,90218
"Cheyenne, WY",US,US-WY-759,41.1405,-104.7927,78728
"Kearney, NE",US,US-NE-722,40.7008,-99.0847,34386
"North Platte, NE",US,US-NE-740,41.1266,-100.764,24352
"Omaha, NE",US,US-NE-652,41.2628,-96.0498,827786
"Las Vegas, NV",US,US-NV-839,36.2333,-115.2654,2073045
"Reno, NV",US,US-NV-811,39.5497,-119.8483,433271
"Boston, MA",US,US-MA-506,42.3188,-71.0846,4637537
"Albuquerque, NM",US,US-NM-790,35.1053,-106.6464,758523
"Albany, NY",US,US-NY-532,42.6664,-73.7987,597270
"Binghamton, NY",US,US-NY-502,42.1014,-75.9093,150747
"Buffalo, NY",US,US-NY-514,42.9017,-78.8487,926261
"Burlington, VT",US,US-VT-523,44.4877,-73.2314,108277
"Elmira, NY",US,US-NY-565,42.0938,-76.8097,64664
"New York, NY",US,US-NY-501,40.6943,-73.9249,19354922
"Rochester, NY",US,US-NY-538,43.168,-77.6162,711998
"Syracuse, NY",US,US-NY-555,43.0409,-76.1438,407259
"Utica, NY",US,US-NY-526,43.0961,-75.226,114318
"Watertown, NY",US,US-NY-549,43.9734,-75.9095,54980
"Charlotte, NC",US,US-NC-517,35.2079,-80.8304,1467362
"Greensboro, NC",US,US-NC-518,36.0956,-79.8268,335588
"Greenville, NC",US,US-NC-545,35.5956,-77.3768,128385
"Raleigh, NC",US,US-NC-560,35.8324,-78.6438,1018336
"Wilmington, NC",US,US-NC-550,34.2101,-77.886,245910
"Valley City, ND",US,US-ND-724,46.9223,-98.0055,6549
"Minot, ND",US,US-ND-687,48.2374,-101.278,49884
"Cincinnati, OH",US,US-OH-515,39.1412,-84.506,1648254
"Cleveland, OH",US,US-OH-510,41.4767,-81.6805,1730363
"Columbus, OH",US,US-OH-535,39.986,-82.9851,1528314
"Dayton, OH",US,US-OH-542,39.7797,-84.1998,718169
"Lima, OH",US,US-OH-558,40.741,-84.1121,69798
"Toledo, OH",US,US-OH-547,41.6639,-83.5822,488672
"Wheeling, WV",US,US-WV-554,40.0751,-80.6951,77206
"Youngstown, OH",US,US-OH-536,41.0993,-80.6463,373728
"Zanesville, OH",US,US-OH-596,39.9567,-82.0133,41969
"Oklahoma City, OK",US,US-OK-650,35.4676,-97.5137,955998
"Sherman, TX",US,US-TX-657,33.6266,-96.6195,67354
"Tulsa, OK",US,US-OK-671,36.1284,-95.9043,672054
"Wichita Falls, TX",US,US-TX-627,33.9072,-98.529,99617
"Bend, OR",US,US-OR-821,44.0562,-121.3087,103349
"Eugene, OR",US,US-OR-801,44.0563,-123.1173,267568
"Medford, OR",US,US-OR-813,42.3372,-122.8537,168219
"Portland, OR",US,US-OR-820,45.5371,-122.65,2052796
"Erie, PA",US,US-PA-516,42.1168,-80.0733,188079
"Harrisburg, PA",US,US-PA-566,40.2752,-76.8843,441580
"Altoona, PA",US,US-PA-574,40.5082,-78.4007,76096
"Philadelphia, PA",US,US-PA-504,40.0077,-75.1339,5637884
"Pittsburgh, PA",US,US-PA-508,40.4396,-79.9763,1715297
"Scranton, PA",US,US-PA-577,41.4044,-75.6649,389022
"Charleston, SC",US,US-SC-519,32.8151,-79.963,616085
"Columbia, SC",US,US-SC-546,34.0376,-80.9037,566166
"Myrtle Beach, SC",US,US-SC-570,33.7096,-78.8842,260487
"Asheville, NC",US,US-SC-567,35.5704,-82.5537,309250
"Rapid City, SD",US,US-SD-764,44.0716,-103.2205,88979
"Sioux Falls, SD",US,US-SD-725,43.5397,-96.7321,180204
"Chattanooga, TN",US,US-TN-575,35.0657,-85.2487,407182
"Jackson, TN",US,US-TN-639,35.6536,-88.8353,73685
"Knoxville, TN",US,US-TN-557,35.9692,-83.9496,585249
"Memphis, TN",US,US-TN-640,35.1046,-89.9773,1068873
"Nashville, TN",US,US-TN-659,36.1715,-86.7843,1076645
"Sweetwater, TX",US,US-TX-662,32.4693,-100.4092,9940
"Amarillo, TX",US,US-TX-634,35.1989,-101.831,206072
"Austin, TX",US,US-TX-635,30.3006,-97.7517,1638716
"Port Arthur, TX",US,US-TX-692,29.8554,-93.9264,157934
"Corpus Christi, TX",US,US-TX-600,27.7261,-97.3755,341435
"Fort Worth, TX",US,US-TX-623,32.7812,-97.3472,874168
"El Paso, TX",US,US-TX-765,31.8479,-106.4309,845674
"McAllen, TX",US,US-TX-636,26.2273,-98.2471,800904
"Houston, TX",US,US-TX-618,29.7869,-95.3905,5446468
"Laredo, TX",US,US-TX-749,27.5617,-99.4874,260244
"Lubbock, TX",US,US-TX-651,33.5642,-101.8871,262505
"Midland, TX",US,US-TX-633,32.0249,-102.1137,144247
"San Angelo, TX",US,US-TX-661,31.4426,-100.4501,99890
