"station","date","latitude","longitude","elevation","name","report_type","source","hourlyaltimetersetting","hourlydewpointtemperature","hourlydrybulbtemperature","hourlyprecipitation","hourlypresentweathertype","hourlypressurechange","hourlypressuretendency","hourlyrelativehumidity","hourlyskyconditions","hourlysealevelpressure","hourlystationpressure","hourlyvisibility","hourlywetbulbtemperature","hourlywinddirection","hourlywindgustspeed","hourlywindspeed","sunrise","sunset","dailyaveragedewpointtemperature","dailyaveragedrybulbtemperature","dailyaveragerelativehumidity","dailyaveragesealevelpressure","dailyaveragestationpressure","dailyaveragewetbulbtemperature","dailyaveragewindspeed","dailycoolingdegreedays","dailydeparturefromnormalaveragetemperature","dailyheatingdegreedays","dailymaximumdrybulbtemperature","dailyminimumdrybulbtemperature","dailypeakwinddirection","dailypeakwindspeed","dailyprecipitation","dailysnowdepth","dailysnowfall","dailysustainedwinddirection","dailysustainedwindspeed","dailyweather","monthlyaveragerh","monthlydayswithgt001precip","monthlydayswithgt010precip","monthlydayswithgt32temp","monthlydayswithgt90temp","monthlydayswithlt0temp","monthlydayswithlt32temp","monthlydeparturefromnormalaveragetemperature","monthlydeparturefromnormalcoolingdegreedays","monthlydeparturefromnormalminimumtemperature","monthlydeparturefromnormalprecipitation","monthlydewpointtemperature","monthlygreatestprecip","monthlygreatestprecipdate","monthlygreatestsnowdepth","monthlygreatestsnowdepthdate","monthlygreatestsnowfall","monthlygreatestsnowfalldate","monthlymaxsealevelpressurevalue","monthlymaxsealevelpressurevaluedate","monthlymaxsealevelpressurevaluetime","monthlymaximumtemperature","monthlymeantemperature","monthlyminsealevelpressurevalue","monthlyminsealevelpressurevaluedate","monthlyminsealevelpressurevaluetime","monthlyminimumtemperature","monthlysealevelpressure","monthlystationpressure","monthlytotalliquidprecipitation","monthlytotalsnowfall","monthlywetbulb","awnd","cdsd","cldd","dsnw","hdsd","htdd","normalscoolingdegreeday","normalsheatingdegreeday","shortdurationenddate005","shortdurationenddate010","shortdurationenddate015","shortdurationenddate020","shortdurationenddate030","shortdurationenddate045","shortdurationenddate060","shortdurationenddate080","shortdurationenddate100","shortdurationenddate120","shortdurationenddate150","shortdurationenddate180","shortdurationprecipitationvalue005","shortdurationprecipitationvalue010","shortdurationprecipitationvalue015","shortdurationprecipitationvalue020","shortdurationprecipitationvalue030","shortdurationprecipitationvalue045","shortdurationprecipitationvalue060","shortdurationprecipitationvalue080","shortdurationprecipitationvalue100","shortdurationprecipitationvalue120","shortdurationprecipitationvalue150","shortdurationprecipitationvalue180","rem","backupdirection","backupdistance","backupdistanceunit","backupelements","backupelevation","backupequipment","backuplatitude","backuplongitude","backupname","windequipmentchangedate"
72049800153,"2017-03-10T12:55:00",37.4,-77.517,72.2,"CHESTERFIELD CO AIRPORT, VA US","FM-15","7","29.92",21,"46","","",-0.13,2,37,"FEW:02 25 SCT:04 31 BKN:07 37",NA,29.67,"10.00",36,"340",26,20,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MET11203/10/17 12:55:02 METAR KFCI 101755Z 34017G23KT 10SM FEW025 SCT031 BKN037 08/M06 A2992 RMK AO1 10120 20070 52044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72049800153,"2017-03-10T13:55:00",37.4,-77.517,72.2,"CHESTERFIELD CO AIRPORT, VA US","FM-15","7","29.92",21,"48","","",NA,NA,34,"FEW:02 39 SCT:04 46 OVC:08 90",NA,29.67,"10.00",38,"VRB",22,10,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MET09403/10/17 13:55:02 METAR KFCI 101855Z 01009G19KT 10SM FEW039 SCT046 OVC090 09/M06 A2992 RMK AO1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72049800153,"2017-03-10T14:55:00",37.4,-77.517,72.2,"CHESTERFIELD CO AIRPORT, VA US","FM-15","7","29.95",21,"50","","",NA,NA,32,"FEW:02 41 FEW:02 49 BKN:07 60",NA,29.7,"10.00",39,"340",21,15,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MET09403/10/17 14:55:02 METAR KFCI 101955Z 34013G18KT 10SM FEW041 FEW049 BKN060 10/M06 A2995 RMK AO1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72049800153,"2017-03-10T15:55:00",37.4,-77.517,72.2,"CHESTERFIELD CO AIRPORT, VA US","FM-15","7","29.94",19,"48","","",-0.02,2,32,"SCT:04 80",NA,29.69,"10.00",37,"320",21,14,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MET08603/10/17 15:55:02 METAR KFCI 102055Z 32012G18KT 10SM SCT080 09/M07 A2994 RMK AO1 52007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72049800153,"2017-03-10T16:55:00",37.4,-77.517,72.2,"CHESTERFIELD CO AIRPORT, VA US","FM-15","7","29.96",14,"52","","",NA,NA,22,"CLR:00",NA,29.7,"10.00",38,"320",29,24,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MET07703/10/17 16:55:02 METAR KFCI 102155Z 32021G25KT 10SM CLR 11/M10 A2996 RMK AO1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72049800153,"2017-03-10T17:55:00",37.4,-77.517,72.2,"CHESTERFIELD CO AIRPORT, VA US","FM-15","7","30.01",10,"46","","",NA,NA,23,"FEW:02 90",NA,29.75,"10.00",34,"320",31,23,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MET08003/10/17 17:55:02 METAR KFCI 102255Z 32020G27KT 10SM FEW090 08/M12 A3001 RMK AO1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72049800153,"2017-03-10T18:55:00",37.4,-77.517,72.2,"CHESTERFIELD CO AIRPORT, VA US","FM-15","7","30.05",10,"45","","",-0.11,2,25,"CLR:00",NA,29.8,"10.00",33,"330",20,15,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MET09503/10/17 18:55:02 METAR KFCI 102355Z 33013G17KT 10SM CLR 07/M12 A3005 RMK AO1 10120 20070 52037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72049800153,"2017-03-10T19:55:00",37.4,-77.517,72.2,"CHESTERFIELD CO AIRPORT, VA US","FM-15","7","30.09",9,"41","","",NA,NA,26,"CLR:00",NA,29.83,"10.00",31,"330",NA,13,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MET07403/10/17 19:55:01 METAR KFCI 110055Z 33011KT 10SM CLR 05/M13 A3009 RMK AO1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72049800153,"2017-03-10T20:55:00",37.4,-77.517,72.2,"CHESTERFIELD CO AIRPORT, VA US","FM-15","7","30.12",7,"41","","",NA,NA,24,"CLR:00",NA,29.86,"10.00",30,"330",NA,13,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MET07403/10/17 20:55:01 METAR KFCI 110155Z 33011KT 10SM CLR 05/M14 A3012 RMK AO1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72049800153,"2017-03-10T21:55:00",37.4,-77.517,72.2,"CHESTERFIELD CO AIRPORT, VA US","FM-15","7","30.14",7,"37","","",-0.09,2,28,"CLR:00",NA,29.88,"10.00",28,"330",NA,11,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MET08003/10/17 21:55:02 METAR KFCI 110255Z 33010KT 10SM CLR 03/M14 A3014 RMK AO1 52030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
