"","interest_over_time.date","interest_over_time.hits","interest_over_time.geo","interest_over_time.time","interest_over_time.keyword","interest_over_time.gprop","interest_over_time.category"
"38",2015-11-01,71,"US-MO-609","today+5-y",NA,"web",1236
"39",2015-11-08,64,"US-MO-609","today+5-y",NA,"web",1236
"40",2015-11-15,40,"US-MO-609","today+5-y",NA,"web",1236
"41",2015-11-22,48,"US-MO-609","today+5-y",NA,"web",1236
"42",2015-11-29,64,"US-MO-609","today+5-y",NA,"web",1236
"43",2015-12-06,45,"US-MO-609","today+5-y",NA,"web",1236
"44",2015-12-13,51,"US-MO-609","today+5-y",NA,"web",1236
"45",2015-12-20,56,"US-MO-609","today+5-y",NA,"web",1236
"46",2015-12-27,62,"US-MO-609","today+5-y",NA,"web",1236
"47",2016-01-03,74,"US-MO-609","today+5-y",NA,"web",1236
"48",2016-01-10,64,"US-MO-609","today+5-y",NA,"web",1236
"49",2016-01-17,62,"US-MO-609","today+5-y",NA,"web",1236
"50",2016-01-24,60,"US-MO-609","today+5-y",NA,"web",1236
"51",2016-01-31,62,"US-MO-609","today+5-y",NA,"web",1236
"52",2016-02-07,62,"US-MO-609","today+5-y",NA,"web",1236
"53",2016-02-14,51,"US-MO-609","today+5-y",NA,"web",1236
"54",2016-02-21,56,"US-MO-609","today+5-y",NA,"web",1236
"55",2016-02-28,58,"US-MO-609","today+5-y",NA,"web",1236
"56",2016-03-06,69,"US-MO-609","today+5-y",NA,"web",1236
"57",2016-03-13,59,"US-MO-609","today+5-y",NA,"web",1236
"58",2016-03-20,61,"US-MO-609","today+5-y",NA,"web",1236
"59",2016-03-27,72,"US-MO-609","today+5-y",NA,"web",1236
"60",2016-04-03,64,"US-MO-609","today+5-y",NA,"web",1236
"61",2016-04-10,79,"US-MO-609","today+5-y",NA,"web",1236
"62",2016-04-17,77,"US-MO-609","today+5-y",NA,"web",1236
"63",2016-04-24,47,"US-MO-609","today+5-y",NA,"web",1236
"64",2016-05-01,53,"US-MO-609","today+5-y",NA,"web",1236
"65",2016-05-08,72,"US-MO-609","today+5-y",NA,"web",1236
"66",2016-05-15,65,"US-MO-609","today+5-y",NA,"web",1236
"67",2016-05-22,88,"US-MO-609","today+5-y",NA,"web",1236
"68",2016-05-29,68,"US-MO-609","today+5-y",NA,"web",1236
"69",2016-06-05,65,"US-MO-609","today+5-y",NA,"web",1236
"70",2016-06-12,70,"US-MO-609","today+5-y",NA,"web",1236
"71",2016-06-19,77,"US-MO-609","today+5-y",NA,"web",1236
"72",2016-06-26,77,"US-MO-609","today+5-y",NA,"web",1236
"73",2016-07-03,59,"US-MO-609","today+5-y",NA,"web",1236
"74",2016-07-10,82,"US-MO-609","today+5-y",NA,"web",1236
"75",2016-07-17,59,"US-MO-609","today+5-y",NA,"web",1236
"76",2016-07-24,61,"US-MO-609","today+5-y",NA,"web",1236
"77",2016-07-31,54,"US-MO-609","today+5-y",NA,"web",1236
"78",2016-08-07,44,"US-MO-609","today+5-y",NA,"web",1236
"79",2016-08-14,40,"US-MO-609","today+5-y",NA,"web",1236
"80",2016-08-21,54,"US-MO-609","today+5-y",NA,"web",1236
"81",2016-08-28,84,"US-MO-609","today+5-y",NA,"web",1236
"82",2016-09-04,47,"US-MO-609","today+5-y",NA,"web",1236
"83",2016-09-11,60,"US-MO-609","today+5-y",NA,"web",1236
"84",2016-09-18,74,"US-MO-609","today+5-y",NA,"web",1236
"85",2016-09-25,66,"US-MO-609","today+5-y",NA,"web",1236
"86",2016-10-02,53,"US-MO-609","today+5-y",NA,"web",1236
"87",2016-10-09,61,"US-MO-609","today+5-y",NA,"web",1236
"88",2016-10-16,48,"US-MO-609","today+5-y",NA,"web",1236
"89",2016-10-23,75,"US-MO-609","today+5-y",NA,"web",1236
"90",2016-10-30,61,"US-MO-609","today+5-y",NA,"web",1236
"91",2016-11-06,49,"US-MO-609","today+5-y",NA,"web",1236
"92",2016-11-13,75,"US-MO-609","today+5-y",NA,"web",1236
"93",2016-11-20,64,"US-MO-609","today+5-y",NA,"web",1236
"94",2016-11-27,79,"US-MO-609","today+5-y",NA,"web",1236
"95",2016-12-04,42,"US-MO-609","today+5-y",NA,"web",1236
"96",2016-12-11,69,"US-MO-609","today+5-y",NA,"web",1236
"97",2016-12-18,54,"US-MO-609","today+5-y",NA,"web",1236
"98",2016-12-25,60,"US-MO-609","today+5-y",NA,"web",1236
"99",2017-01-01,65,"US-MO-609","today+5-y",NA,"web",1236
"100",2017-01-08,84,"US-MO-609","today+5-y",NA,"web",1236
"101",2017-01-15,63,"US-MO-609","today+5-y",NA,"web",1236
"102",2017-01-22,72,"US-MO-609","today+5-y",NA,"web",1236
"103",2017-01-29,48,"US-MO-609","today+5-y",NA,"web",1236
"104",2017-02-05,39,"US-MO-609","today+5-y",NA,"web",1236
"105",2017-02-12,63,"US-MO-609","today+5-y",NA,"web",1236
"106",2017-02-19,73,"US-MO-609","today+5-y",NA,"web",1236
"107",2017-02-26,68,"US-MO-609","today+5-y",NA,"web",1236
"108",2017-03-05,51,"US-MO-609","today+5-y",NA,"web",1236
"109",2017-03-12,76,"US-MO-609","today+5-y",NA,"web",1236
"110",2017-03-19,66,"US-MO-609","today+5-y",NA,"web",1236
"111",2017-03-26,76,"US-MO-609","today+5-y",NA,"web",1236
"112",2017-04-02,76,"US-MO-609","today+5-y",NA,"web",1236
"113",2017-04-09,55,"US-MO-609","today+5-y",NA,"web",1236
"114",2017-04-16,74,"US-MO-609","today+5-y",NA,"web",1236
"115",2017-04-23,73,"US-MO-609","today+5-y",NA,"web",1236
"116",2017-04-30,60,"US-MO-609","today+5-y",NA,"web",1236
"117",2017-05-07,64,"US-MO-609","today+5-y",NA,"web",1236
"118",2017-05-14,76,"US-MO-609","today+5-y",NA,"web",1236
"119",2017-05-21,67,"US-MO-609","today+5-y",NA,"web",1236
"120",2017-05-28,72,"US-MO-609","today+5-y",NA,"web",1236
"121",2017-06-04,60,"US-MO-609","today+5-y",NA,"web",1236
"122",2017-06-11,54,"US-MO-609","today+5-y",NA,"web",1236
"123",2017-06-18,72,"US-MO-609","today+5-y",NA,"web",1236
"124",2017-06-25,77,"US-MO-609","today+5-y",NA,"web",1236
"125",2017-07-02,48,"US-MO-609","today+5-y",NA,"web",1236
"126",2017-07-09,81,"US-MO-609","today+5-y",NA,"web",1236
"127",2017-07-16,75,"US-MO-609","today+5-y",NA,"web",1236
"128",2017-07-23,64,"US-MO-609","today+5-y",NA,"web",1236
"129",2017-07-30,57,"US-MO-609","today+5-y",NA,"web",1236
"130",2017-08-06,77,"US-MO-609","today+5-y",NA,"web",1236
"131",2017-08-13,75,"US-MO-609","today+5-y",NA,"web",1236
"132",2017-08-20,50,"US-MO-609","today+5-y",NA,"web",1236
"133",2017-08-27,91,"US-MO-609","today+5-y",NA,"web",1236
"134",2017-09-03,57,"US-MO-609","today+5-y",NA,"web",1236
"135",2017-09-10,63,"US-MO-609","today+5-y",NA,"web",1236
"136",2017-09-17,65,"US-MO-609","today+5-y",NA,"web",1236
"137",2017-09-24,67,"US-MO-609","today+5-y",NA,"web",1236
"138",2017-10-01,69,"US-MO-609","today+5-y",NA,"web",1236
"139",2017-10-08,67,"US-MO-609","today+5-y",NA,"web",1236
"140",2017-10-15,86,"US-MO-609","today+5-y",NA,"web",1236
"141",2017-10-22,48,"US-MO-609","today+5-y",NA,"web",1236
"142",2017-10-29,50,"US-MO-609","today+5-y",NA,"web",1236
"143",2017-11-05,43,"US-MO-609","today+5-y",NA,"web",1236
"144",2017-11-12,65,"US-MO-609","today+5-y",NA,"web",1236
"145",2017-11-19,42,"US-MO-609","today+5-y",NA,"web",1236
"146",2017-11-26,47,"US-MO-609","today+5-y",NA,"web",1236
"147",2017-12-03,72,"US-MO-609","today+5-y",NA,"web",1236
"148",2017-12-10,56,"US-MO-609","today+5-y",NA,"web",1236
"149",2017-12-17,54,"US-MO-609","today+5-y",NA,"web",1236
"150",2017-12-24,52,"US-MO-609","today+5-y",NA,"web",1236
"151",2017-12-31,61,"US-MO-609","today+5-y",NA,"web",1236
"152",2018-01-07,99,"US-MO-609","today+5-y",NA,"web",1236
"153",2018-01-14,54,"US-MO-609","today+5-y",NA,"web",1236
"154",2018-01-21,76,"US-MO-609","today+5-y",NA,"web",1236
"155",2018-01-28,67,"US-MO-609","today+5-y",NA,"web",1236
"156",2018-02-04,56,"US-MO-609","today+5-y",NA,"web",1236
"157",2018-02-11,37,"US-MO-609","today+5-y",NA,"web",1236
