"","interest_over_time.date","interest_over_time.hits","interest_over_time.geo","interest_over_time.time","interest_over_time.keyword","interest_over_time.gprop","interest_over_time.category"
"35",2015-10-11,55,"US-NM-790","today+5-y",NA,"web",1236
"36",2015-10-18,40,"US-NM-790","today+5-y",NA,"web",1236
"37",2015-10-25,27,"US-NM-790","today+5-y",NA,"web",1236
"38",2015-11-01,29,"US-NM-790","today+5-y",NA,"web",1236
"39",2015-11-08,47,"US-NM-790","today+5-y",NA,"web",1236
"40",2015-11-15,25,"US-NM-790","today+5-y",NA,"web",1236
"41",2015-11-22,61,"US-NM-790","today+5-y",NA,"web",1236
"42",2015-11-29,43,"US-NM-790","today+5-y",NA,"web",1236
"43",2015-12-06,32,"US-NM-790","today+5-y",NA,"web",1236
"44",2015-12-13,37,"US-NM-790","today+5-y",NA,"web",1236
"45",2015-12-20,29,"US-NM-790","today+5-y",NA,"web",1236
"46",2015-12-27,24,"US-NM-790","today+5-y",NA,"web",1236
"47",2016-01-03,58,"US-NM-790","today+5-y",NA,"web",1236
"48",2016-01-10,67,"US-NM-790","today+5-y",NA,"web",1236
"49",2016-01-17,72,"US-NM-790","today+5-y",NA,"web",1236
"50",2016-01-24,68,"US-NM-790","today+5-y",NA,"web",1236
"51",2016-01-31,68,"US-NM-790","today+5-y",NA,"web",1236
"52",2016-02-07,61,"US-NM-790","today+5-y",NA,"web",1236
"53",2016-02-14,74,"US-NM-790","today+5-y",NA,"web",1236
"54",2016-02-21,100,"US-NM-790","today+5-y",NA,"web",1236
"55",2016-02-28,91,"US-NM-790","today+5-y",NA,"web",1236
"56",2016-03-06,52,"US-NM-790","today+5-y",NA,"web",1236
"57",2016-03-13,71,"US-NM-790","today+5-y",NA,"web",1236
"58",2016-03-20,39,"US-NM-790","today+5-y",NA,"web",1236
"59",2016-03-27,72,"US-NM-790","today+5-y",NA,"web",1236
"60",2016-04-03,68,"US-NM-790","today+5-y",NA,"web",1236
"61",2016-04-10,72,"US-NM-790","today+5-y",NA,"web",1236
"62",2016-04-17,83,"US-NM-790","today+5-y",NA,"web",1236
"63",2016-04-24,11,"US-NM-790","today+5-y",NA,"web",1236
"64",2016-05-01,69,"US-NM-790","today+5-y",NA,"web",1236
"65",2016-05-08,45,"US-NM-790","today+5-y",NA,"web",1236
"66",2016-05-15,49,"US-NM-790","today+5-y",NA,"web",1236
"67",2016-05-22,46,"US-NM-790","today+5-y",NA,"web",1236
"68",2016-05-29,62,"US-NM-790","today+5-y",NA,"web",1236
"69",2016-06-05,65,"US-NM-790","today+5-y",NA,"web",1236
"70",2016-06-12,72,"US-NM-790","today+5-y",NA,"web",1236
"71",2016-06-19,70,"US-NM-790","today+5-y",NA,"web",1236
"72",2016-06-26,43,"US-NM-790","today+5-y",NA,"web",1236
"73",2016-07-03,61,"US-NM-790","today+5-y",NA,"web",1236
"74",2016-07-10,96,"US-NM-790","today+5-y",NA,"web",1236
"75",2016-07-17,37,"US-NM-790","today+5-y",NA,"web",1236
"76",2016-07-24,77,"US-NM-790","today+5-y",NA,"web",1236
"77",2016-07-31,31,"US-NM-790","today+5-y",NA,"web",1236
"78",2016-08-07,29,"US-NM-790","today+5-y",NA,"web",1236
"79",2016-08-14,60,"US-NM-790","today+5-y",NA,"web",1236
